Badge_ID,Badge_Name,Category,Trigger_Type,Trigger_Value,Description,Badge_Image_URL,Badge_Points_Base,Badge_Points_Multiplier,Badge_Tier_Number
LOY-100,Team Icon,Participation,activity_pct_season,1,Attend 100% of a single team's home games!,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fteam_icon.svg?alt=media&token=7ff822da-8046-4c85-a775-7889321cfc43,,,
LOY-25,Team Loyalist,Participation,Home_Game_Pct,0.25,Attend 25% of a team's home games.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fteam_loyalist.svg?alt=media&token=11129d4c-7ab9-4e42-bf79-09c388ab207b,,,
LOY-50,Team Superfan,Participation,Home_Game_Pct,0.5,Attend 50% of a team's home games.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fteam_superfan.svg?alt=media&token=d1003c07-afb9-436f-9076-d25a0079d0ae,,,
LOY-ACT,Thespian,Variety,Specific_Activities,ACT,Attend all theatre productions this school year.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fthespian.svg?alt=media&token=8cd53e9a-6260-4caa-8939-def7def9e715,,,
LOY-BAND,First Chair,Variety,Specific_Activities,BAND,Attend 3 different band concerts.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Ffirst_chair.svg?alt=media&token=7f0e1d64-9f5a-48a9-acc1-831c68bb1cdc,,,
LOY-BB,Court Conqueror,Special,Activity_Pct_Season,GBB:0.5,Attend 50% of all girls basketball games this season.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fcourt_conqueror.svg?alt=media&token=3801a76e-8bae-4a2d-824c-8a94abf368cb,,,
LOY-HB,Rink Rat,Special,Activity_Event_Count_Season,BHKY:5,Attend 5 boys or girls hockey games this season.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Frink_rat.svg?alt=media&token=b3231bb8-1879-47b3-9515-f1f4b8a60871,,,
P-050,Bronze Points,Points,Points_Season,50,Earn 50 points in a season.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fbronze_points.svg?alt=media&token=8ff93e0f-1c15-4846-82d6-37a1ebd834f7,,,
P-1000,Diamond Fan,Points,Points_Season,1000,"Earn 1,000 points in a season!",https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fdiamond_fan.svg?alt=media&token=781b241a-3b37-4409-adc7-530ad051d306,,,
P-150,Silver Points,Points,Points_Season,150,Earn 150 points in a season.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fsilver_points.svg?alt=media&token=a4c6fd07-5301-4708-9b5c-0dc68e161bac,,,
P-300,Gold Points,Points,Points_Season,300,Earn 300 points in a season.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fgold_points.svg?alt=media&token=76d8a622-3209-40c2-9910-982857bb3893,,,
P-500,Platinum Fan,Points,Points_Season,500,Earn 500 points in a season.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fplatinum_fan.svg?alt=media&token=53549e29-685b-486b-813d-59cc2a371bb7,,,
SPC-001,Day One,Special,Submission_Count_Week_1,1,Used the app in the first week of launch.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fday_one.svg?alt=media&token=76476aa1-1f25-48c4-942d-4497272d9a9d,,,
SPC-002,2nd Place Finish,Points,Season_Placement,2,Finish 2nd in a season.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2F2nd_place_finish.svg?alt=media&token=77990c07-a405-4266-8a96-211b20008f34,,,
SPC-003,3rd Place Finish,Points,Season_Placement,3,Finish 3rd in a season.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2F3rd_place_finish.svg?alt=media&token=08e65671-c3e2-4665-a9a1-595d237af653,,,
SPC-WIN,Season Champ,Special,Season_Placement,1,Finish 1st in a season.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fseason_champ.svg?alt=media&token=b285fbc2-9b20-437b-993f-336a0882ac86,,,
SPEC-SOC-001,Social Spartan,Special,manual,0,Awarded for promoting a school event on social media (admin verified).,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fsocial_spartan.svg?alt=media&token=4c6e8396-52f7-4bff-bd97-edc5b3164d85,,,
SPEC-TRIP-001,Triple Threat,Special,manual,0,"Attend at least one ""Sport,"" one ""Art,"" and one ""Academic"" event. (Requires Activities_Data to be categorized well)",https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Ftriple_threat.svg?alt=media&token=1350a85a-8230-40fa-958e-8d2e4133d50f,,,
SPEC-WKND-001,Weekend Warrior,Special,manual,0,Attend an event on a Friday AND a Saturday in the same week.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fweekend_warrior.svg?alt=media&token=926704b6-cd0f-4937-b04d-ee73b3f539e1,,,
STRK-003,Unstoppable,Participation,Events_In_7_Days,7,Attend 7 events in a 7-day period. (A new tier),https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Funstoppable.svg?alt=media&token=8945a9dd-bf63-4e60-9bf0-cfc511e871a8,,,
VAR-003,Explorer,Participation,Distinct_Sports,3,Attend 3 different sports/arts.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fexplorer.svg?alt=media&token=c8dd8749-18d3-4d31-8c91-f2095f7b691d,,,
VAR-007,Renaissance Fan,Participation,Distinct_Sports,7,Attend an event for 7 different sports/arts.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Frenaissance_fan.svg?alt=media&token=9d1039e3-d8ff-46d3-840c-11e3d7c4c9a8,,,
VAR-ALL,Spartan Legend,Variety,Distinct_Sports,11,Attend an event for all listed sports/arts.,,,,
VAR-ARTS,Arts Patron,Variety,Specific_Activities,"ACT,BAND,SING","Attend at least one event for Theater, Band, AND Choir.",https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Farts_patron.svg?alt=media&token=7c1cdf70-b845-4caa-bb22-6ff35b9170a4,,,
VAR-ATH,Super Supporter,Participation,Distinct_Sports,5,Attend at least one game for 5 different sports.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fsuper_supporter.svg?alt=media&token=5b1c76ca-aa1f-4655-a40b-8684671811d5,,,
